company,name,model,size,freq
Adata,Adata XPG Spectrix D41 16GB (8GBx2) 4133Mhz RGB Memory AX4U413338G19-DR41 (Red),AX4U413338G19-DR41 ,16GB ,4133Mhz 
Crucial,Crucial Ballistix 16GB Kit (2 x 8GB) DDR4 3000mhz Desktop Gaming Memory Black BL2K8G30C15U4B,BL2K8G30C15U4B,16GB ,3000mhz 
Crucial,Crucial Ballistix Sport LT 16GB 3200 MHz DDR4 White Desktop Gaming Memory BLS16G4D32AESC,BLS16G4D32AESC,16GB ,3200 MHz 
Crucial,Crucial Ballistix Sport LT 8GB 2666 MHz DDR4 Red Desktop Gaming Memory BLS8G4D26BFSEK,BLS8G4D26BFSEK,8GB ,2666 MHz 
Crucial,Crucial Ballistix Sport LT 8GB 3200 MHz DDR4 Grey Desktop Gaming Memory BLS8G4D32AESBK,BLS8G4D32AESBK,8GB ,3200 MHz 
Crucial,Crucial 16GB 2666MHz DDR4 SODIMM 260 Pin Laptop Memory CB16GS2666,CB16GS2666,16GB ,2666MHz 
Crucial,Crucial 4GB DDR4 2400MHZ SODIMM Laptop Memory CB4GS2400,CB4GS2400,4GB ,2400MHZ 
Crucial,Crucial 4GB DDR4 2400 MHz UDIMM RAM CB4GU2400,CB4GU2400,4GB ,2400 MHz 
Crucial,Crucial 8GB DDR4 2400MHZ SODIMM Laptop Memory CB8GS2400,CB8GS2400,8GB ,2400MHZ 
Crucial,Crucial Basics 8GB DDR4 2400MHZ UDIMM Desktop Memory CB8GU2400,CB8GU2400,8GB ,2400MHZ 
Crucial,Crucial 4GB DDR4 2400 MHz UDIMM RAM CT4G4DFS824A,CT4G4DFS824A,4GB ,2400 MHz 
Corcair,CORSAIR Desktop Dominator Platinum Series – 128GB (16GBx8) DDR4 3000MHz RAM (CMD128GX4M8B3000C16),CMD128GX4M8B3000C16,28GB ,3000MHz 
Corcair,CORSAIR DOMINATOR PLATINUM 16GB (2X8GB) DDR4 DRAM 2666 MHZ C15 RAM (CMD16GX4M2A2666C15),CMD16GX4M2A2666C15,16GB ,2666 MHZ 
Corcair,Corsair CMD16GX4M2B3000C15 Desktop Ram Dominator Platinum Series 16GB (8GBx2) DDR4 3000MHz,CMD16GX4M2B3000C15 ,16GB ,3000MHz
Corcair,Corsair CMD16GX4M2B3200C16 Desktop Ram Dominator Platinum Series 16GB (8GBx2) DDR4 3200MHz,CMD16GX4M2B3200C16 ,16GB ,3200MHz
Corcair,Corsair CMD16GX4M2B3600C18 Desktop Ram Dominator Platinum Series 16GB (8GBx2) DDR4 3600MHz,CMD16GX4M2B3600C18 ,16GB ,3600MHz
Corcair,Corsair CMD32GX4M2B3000C15 Desktop Ram Dominator Platinum Series 32GB (16GBx2) DDR4 3000MHz,CMD32GX4M2B3000C15 ,32GB ,3000MHz
Corcair,Corsair CMD32GX4M2C3200C16 Desktop Ram Dominator Platinum Series 32GB (16GBx2) DDR4 3200MHz,CMD32GX4M2C3200C16 ,32GB ,3200MHz
Corcair,CORSAIR Desktop Dominator Platinum Series – 32GB (8GBx4) DDR4 3000MHz RAM (CMD32GX4M4C3000C15),CMD32GX4M4C3000C15,32GB ,3000MHz 
Corcair,CORSAIR Desktop Dominator Platinum Series – 64GB (16GBx4) DDR4 3000MHz RAM (CMD64GX4M4C3000C15),CMD64GX4M4C3000C15,64GB ,3000MHz 
Corcair,CORSAIR CMK128GX4M4D3600C18 Desktop Ram VENGEANCE LPX Series 128GB (32GBx4) DDR4 3600MHz Black,CMK128GX4M4D3600C18 ,28GB ,3600MHz 
