company,name,model
Samsung,SAMSUNG LU28E590DS/XL 28 INCH UHD LED GAMING MONITOR,LU28E590DS
Samsung,"Samsung LU32J590UQWXXL - 32 Inch Business Monitor (Amd Freesync, 4ms Response Time, 4K UHD VA Panel, DisplayPort, HDMI)",LU32J590UQWXXL
Samsung,"Samsung LS24F350FHWXXL - 24 Inch Gaming Monitor ( Amd Freesync, 4ms Response Time, FHD AH IPS Panel, D-Sub, HDMI)",LS24F350FHWXXL
Samsung,SAMSUNG 27 INCH CURVED FULL HD 1800R LED MONITOR,LC27F591FDWXXL
Acer,"Acer CB271HK - 27 Inch 100% sRGB Gaming Monitor (4ms Response Time, 4K UHD IPS Panel, HDMI, DVI, DisplayPort)",CB271HK
Acer,"Acer EB321HQ - 32 Inch Monitor (4ms Response Time, FHD IPS Panel, HDMI, VGA)",EB321HQ
Acer,"Acer ED322Q 32 Inch Curved Gaming Monitor (4ms Response Time, Frameless, FHD VA Panel, DVI, HDMI, VGA, Speaker)",ED322Q
Acer,"Acer ET221Q - 22 Inch Monitor (4ms Response Time, Frameless, FHD IPS Panel, VGA)",ET221Q
Acer,"Acer ET271 - 27 Inch Monitor (4ms Response Time, Frameless, FHD PLS Panel, HDMI, VGA, Speakers)",ET271
Acer,"Acer ET322QK 32 Inch Gaming Monitor (AMD FreeSync, 4ms Response Time, Frameless, 4K UHD VA Panel, HDMI, DisplayPort, Speakers)",ET322QK
Acer,"Acer GN246HL 24 Inch 3D Gaming Monitor (1ms Response Time, 144Hz Refresh Rate, FHD TN Panel, DVI, HDMI, VGA)",GN246HL
Acer,"Acer K222HQL - 22 Inch Monitor (5ms Response Time, FHD TN Panel, VGA, Speaker)",K222HQL
Acer,"ACER KA220HQ 22 Inch Monitor (5ms Response Time, FHD TN Panel, DVI, VGA)",KA220HQ
Acer,"Acer KA240H 24 Inch Monitor (5ms Response Time, FHD TN Panel, HDMI, D-sub)",KA240H
Acer,"Acer KG271 - 27 Inch Gaming Monitor (AMD FreeSync, 1ms Response Time, 240Hz Refresh Rate, Frameless, FHD TN Panel, HDMI, DisplayPort, Speakers)",KG271
Acer,"Acer KG271C - 27 Inch Gaming Monitor (AMD FreeSync, 1ms Response Time, 144Hz Refresh Rate, Frameless, FHD TN Panel, HDMI, DVI, DisplayPort, Speakers)",KG271C
Acer,"ACER KG281K “ 28 Inch Gaming Monitor (Amd Freesync, 1ms Response Time, 4K UHD TN Panel, HDMI, Speakers)",KG281K
Acer,"Acer Nitro QG221Q 22 Inch Gaming Monitor (AMD FreeSync, 1ms Response Time, Frameless, FHD VA Panel, HDMI, VGA)",Nitro QG221Q
Acer,"Acer S271HL H - 27 Inch Monitor (1ms Response Time, FHD TN Panel, HDMI, VGA)",S271HL
Acer,Acer NITRO VG0 VG270 27 Inch,NITRO VG0
Acer,Acer KG1 27 inch 144 Hz Gaming Monitor KG271C UM.HX1SI.C01,KG1
Acer,"Acer ED242QR 24 Inch Curved Gaming Monitor (1800R Curved, AMD FreeSync, 4ms Response Time, Frameless, FHD VA Panel, HDMI, VGA)",ED242QR
Acer,Acer Nitro VG240P 144Hz Full HD IPS Gaming Monitor,Nitro VG240P
Acer,"Acer VG240Y - 24 Inch Gaming Monitor (AMD FreeSync, 1ms Response Time, Frameless, FHD IPS Panel, HDMI, VGA, Speakers)",VG240Y
Acer,Acer Nitro VG270P IPS 27 inch 144Hz Free Sync Gaming Monitor,Nitro VG270P
Acer,Acer VG271U 27 Inch 100% sRGB Gaming Monitor (AMD FreeSync/1ms Response Time/144Hz Refresh Rate/2K WQHD IPS Panel),VG271U
Acer,"Acer KG271 - 27 Inch Gaming Monitor (AMD FreeSync, 1ms Response Time, Frameless, FHD TN Panel, HDMI, VGA, Speakers)",KG271
Acer,"Acer ED273UR P - 27 Inch Curved Gaming Monitor (1800R Curved, AMD FreeSync, 4ms Response Time, 144Hz Refresh Rate, Frameless, Flicker Free, WQHD VA Panel, DVI, HDMI, DisplayPort)",ED273UR
Acer,"Acer EK240Y - 24 Inch Monitor (5ms Response Time, FHD IPS Panel, HDMI, VGA)",EK240Y
Acer,"Acer RT240Y - 24 Inch Monitor (4ms Response Time, Frameless, FHD IPS Panel, DVI, HDMI, D-sub, Speakers)",RT240Y
Acer,"Acer SA240Y - 24 Inch Monitor (4ms Response Time, Frameless, FHD IPS Panel, HDMI, VGA)",SA240Y
Acer,"Acer ED273 - 27 Inch Curved Gaming Monitor (4ms Response Time, Frameless, FHD VA Panel, DVI, HDMI, VGA, Speakers)",ED273
Acer,"Acer Nitro QG271 - 27 Inch Gaming Monitor (AMD FreeSync, 1ms Response Time, Frameless, FHD VA Panel, HDMI, VGA)",Nitro QG271
Acer,ACER NITRO VG240YS 165HZ IPS GAMING MONITOR,NITRO VG240YS
Acer,"Acer B247Y Dbmiprczx - 24 Inch Gaming Monitor (Adaptive-Sync, 4ms Response Time, 75Hz Refresh Rate, Frameless, FHD IPS Panel, HDMI, VGA, DisplayPort, Speakers)",B247Y
Acer,"Acer Nitro XV270 Pbmiiprx - 27 Inch Gaming Monitor (AMD FreeSync, 2ms Response Time, 144Hz Refresh Rate, Frameless, FHD IPS Panel, DisplayPort, Speakers)",Nitro XV270
Dell,"Dell D1918H - 19 Inch Monitor (5ms Responce Time, HD TN Panel, HDMI, VGA)", D1918H 
Dell,Dell E1715S 17 LED Backlit 5:4 LCD Monitor, E1715S 
Dell,DELL E2016HV 20 INCH LCD GAMING MONITOR, E2016HV 
Dell,"Dell E2216HV - 22 Inch Monitor (5ms Response Time, FHD TN Panel, VGA)", E2216HV 
Dell,"Dell E2218HN - 22 Inch Monitor (5ms Response Time, FHD TN Panel, HDMI, VGA)", E2218HN 
Dell,Dell E2218HN 22 Inch 5ms Response Time FHD TN Panel Monitor, E2218HN 
Dell,"Dell E2219HN - 22 Inch Monitor (14ms Response Time, FHD IPS Panel, HDMI, VGA)", E2219HN 
Dell,Dell P2419HC 23.8 16:9 Ultrathin Bezel IPS Monitor, P2419HC 
Dell,"Dell SE2219HX - 22 Inch Monitor (8ms Response Time, Frameless, FHD IPS Panel, HDMI, VGA)", SE2219HX 
Dell,Dell SE2419H 24 inch FHD IPS Monitor For Work And Entertainment, SE2419H 
Dell,"Dell SE2719H - 27 Inch Monitor (5ms Response Time, Frameless, FHD IPS Panel, HDMI, VGA)", SE2719H 
Dell,Dell U2415 Black 24.1 inch 6ms (GTG) Dual HDMI Widescreen LCD Monitor, U2415 
Dell,"DELL U2419H 24 INCH 99% SRGB MONITOR (5MS RESPONSE TIME, FRAMELESS, FHD IPS PANEL, HDMI, DISPLAYPORT)", U2419H 
Dell,Dell UltraSharp U2412M 24 Inch Screen LED Monitor, U2412M 
Benq,"BenQ BL2420PT - 24 Inch 100% sRGB Designer Monitor (5ms Response Time, 2K QHD IPS Panel, D-sub, DVI, HDMI, DisplayPort, Speakers)", BL2420PT
Benq,"BenQ EL2870U - 28 Inch Gaming Monitor (AMD FreeSync, HDR, 1ms Response Time, 4K UHD TN Panel, HDMI, DisplayPort, Speakers)", EL2870U
Benq,"BenQ EW2480 - 24 Inch Gaming Monitor (AMD FreeSync, HDRi, 5ms Response Time, FHD IPS Panel, Frameless, HDMI, Speakers)", EW2480
Benq,"BenQ EW2780 - 27 Inch Video Enjoyment Monitor (HDRi, 5ms Response Time, Frameless, FHD IPS Panel, HDMI, Speakers)", EW2780
Benq,"BenQ EW2780Q - 27 Inch Video Enjoyment Monitor (HDRi, 5ms Response Time, Frameless, 2K QHD IPS Panel, HDMI, Speakers)", EW2780Q
Benq,"BenQ EW3270U - 32 Inch Video Enjoyment Monitor (AMD FreeSync, HDR, 4ms Response Time, Frameless, 4K UHD VA Panel, HDMI, DisplayPort, Speakers)", EW3270U
Benq,"BenQ EW3280U - 32 Inch Gaming Monitor (AMD FreeSync, 5ms Responce Time, HDRi, Frameless, 4K IPS Panel, HDMI, DisplayPort, Speakers)", EW3280U
Benq,"BenQ MOBIUZ EX2510 - 25 Inch Gaming Monitor (AMD FreeSync, 144Hz Refresh Rate,1ms Response Time, Frameless, FHD IPS Panel, Flicker Free, HDMI, DisplayPort, Speakers)", EX2510
Benq,"BenQ EX2780Q - 27 Inch Gaming Monitor (AMD FreeSync, HDRi, 5ms Response Time, 144Hz Refresh Rate, Frameless, 2K QHD IPS Panel, HDMI, DisplayPort, USB Type-C, Speakers)", EX2780Q
Benq,BENQ GW2283 22 Inch FHD Frameless Monitor GW2283, GW2283
Benq,"BenQ GW2480 - 24 Inch Stylish Monitor (5ms Response Time, FHD IPS Panel, D-sub, HDMI, DisplayPort, Speakers)", GW2480
Benq,"BenQ GW2480T - 24 Inch Stylish Monitor (5ms Response Time, FHD IPS Panel, D-sub, HDMI, DisplayPort, Speakers)", GW2480T
Benq,"BenQ GW2780 - 27 Inch Stylish Monitor (5ms Response Time, Frameless, FHD IPS Panel, D-sub, HDMI, DisplayPort, Speakers)", GW2780
Benq,"BenQ GW2780T - 27 Inch Eye-Care Monitor (5ms Response Time, Frameless, FHD IPS Panel, D-sub, HDMI, DisplayPort, Speakers)", GW2780T
Benq,"BenQ PD2500Q - 25 Inch 100% sRGB Designer Monitor (4ms Response Time, 2K QHD IPS Panel, Flicker-Free, HDMI, DisplayPort, Speakers)", PD2500Q
Benq,"BenQ PD2700Q - 27 Inch 100% sRGB Designer Monitor (4ms Response Time, 2K QHD IPS Panel, HDMI, DisplayPort, Mini DisplayPort, Spekers)", PD2700Q
Benq,"BenQ PD2700U - 27 Inch 100% sRGB Designer Monitor (5ms Response Time, Frameless, 4K UHD IPS Panel, HDMI, DisplayPort, Mini DisplayPort, Speakers)", PD2700U
